,TICKER,EMISOR,VENCIMIENTO,AMORTIZACION,CUPON_DE_RENTA,PROX_VENC,VR,COTIZACION,FECH_ULT_COT,RENTA_ANUAL,INT_CORRIDOS_C100vn,YIELD_ANUAL,VALOR_TECNICO_C100vn,PARIDAD_PERC,TIR_ANUAL,DM,PPV
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,17495.000,5-Abr-22,Fija=4,0.61,4.37,100.61,91.53,12.04%,2.07,2.24
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.00,19629.500,5-Abr-22,Fija=10.95,0.21,10.62,100.21,103.10,10.42%,3.36,3.60
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,18650.000,5-Abr-22,Fija=8,1.76,8.30,101.76,96.47,9.22%,3.47,3.75
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,22000.000,5-Abr-22,Fija=9.125,3.98,8.16,103.98,111.37,5.89%,3.30,3.50
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,18800.000,5-Abr-22,Tasa fija=8.75,0.85,8.92,100.85,98.12,9.69%,2.59,2.92
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14600.000,5-Abr-22,Fija=2.5,0.67,3.28,100.67,76.34,14.58%,4.27,4.99
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,11500.000,5-Abr-22,Fija=1.5,0.03,2.48,100.03,60.51,14.18%,6.44,8.24
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,19700.000,21-Mar-22,Fija=6,1.28,6.11,101.28,98.29,7.56%,1.20,1.25
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,19740.000,21-Mar-22,Fija=7.375,1.27,7.49,101.27,98.50,8.77%,1.22,1.28
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,19800.000,21-Mar-22,Fija=8.75,4.11,9.12,104.11,96.11,13.22%,0.95,1.09
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-22,100.00,19585.000,18-Mar-22,Tasa fija=6.875,2.44,7.12,102.44,96.60,8.85%,1.90,2.00
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,19500.000,21-Mar-22,Fija=9.5,0.40,9.68,100.40,98.15,12.00%,1.70,1.90
5,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,16650.000,21-Mar-22,Fija=8.5,1.30,10.26,101.30,83.06,15.78%,2.69,3.01
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,19625.000,21-Mar-22,Fija=8.5,1.11,8.67,101.11,98.08,9.64%,2.04,2.22
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,17200.000,21-Mar-22,Fija=4,0.46,4.63,100.46,86.52,14.82%,2.08,2.28
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.00,20210.000,21-Mar-22,Fija=10.95,2.52,10.99,102.52,99.61,11.52%,3.29,3.57
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,19500.000,21-Mar-22,Fija=8,1.44,8.24,101.44,97.13,9.00%,3.52,3.79
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,22000.000,21-Mar-22,Fija=9.125,3.62,8.48,103.62,107.28,7.08%,3.30,3.54
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,18845.000,21-Mar-22,Tasa fija=8.75,0.51,9.24,100.51,94.74,11.08%,2.59,2.96
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,13495.000,21-Mar-22,Fija=2.5,0.58,3.70,100.58,67.80,17.47%,4.17,5.03
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.00,11500.000,21-Mar-22,Fija=1.5,0.72,2.61,100.72,57.70,14.98%,6.30,8.25
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,33800.000,13-Dic-22,Fija=6,2.65,6.02,102.65,99.70,6.70%,0.52,0.54
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,34200.000,12-Dic-22,Fija=7.375,2.95,7.33,102.95,100.58,6.45%,0.56,0.58
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,22300.000,13-Dic-22,Fija=8.75,1.21,9.24,71.21,94.82,16.11%,0.76,0.86
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,33000.000,13-Dic-22,Tasa fija=6.875,0.57,6.92,100.57,99.35,7.50%,1.32,1.37
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.70,30399.000,13-Dic-22,Fija=9.5,2.22,9.17,88.92,103.51,8.77%,1.31,1.42
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,28880.000,13-Dic-22,Fija=8.5,3.23,10.09,103.23,84.70,16.76%,2.12,2.37
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,33050.000,13-Dic-22,Fija=8.5,3.05,8.76,103.05,97.11,10.82%,1.40,1.56
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-23,100.00,32050.000,13-Dic-22,Fija=4,0.37,4.14,100.37,96.69,11.61%,1.46,1.60
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Dic-22,100.00,33815.000,13-Dic-22,Fija=10.95,2.28,10.94,102.28,100.10,11.37%,2.84,3.03
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,32700.000,13-Dic-22,Fija=8,3.27,8.36,103.27,95.88,9.64%,2.94,3.17
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,38000.000,13-Dic-22,Fija=9.125,1.14,8.01,101.14,113.76,4.66%,2.91,3.03
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.00,33200.000,13-Dic-22,Tasa fija=8.75,2.50,8.93,102.50,98.07,9.92%,2.03,2.32
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,26820.000,13-Dic-22,Fija=2.5,1.15,3.12,101.15,80.29,15.25%,3.66,4.34
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,20315.000,13-Dic-22,Fija=1.5,0.31,2.45,100.31,61.32,15.36%,5.73,7.59
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,33000.000,1-Dic-22,Fija=6,2.48,6.05,102.48,99.13,7.75%,0.55,0.57
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,33700.000,1-Dic-22,Fija=7.375,2.75,7.30,102.75,100.98,5.82%,0.59,0.61
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,22100.000,1-Dic-22,Fija=8.75,1.04,9.14,71.04,95.77,14.53%,0.80,0.89
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,32300.000,1-Dic-22,Tasa fija=6.875,0.38,6.94,100.38,99.06,7.72%,1.34,1.40
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.70,29600.000,1-Dic-22,Fija=9.5,1.99,9.24,88.69,102.75,9.38%,1.33,1.45
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,27270.000,1-Dic-22,Fija=8.5,3.00,10.50,103.00,81.51,18.61%,2.12,2.39
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,32100.000,1-Dic-22,Fija=8.5,2.81,8.85,102.81,96.12,11.54%,1.42,1.58
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-23,100.00,30830.000,1-Dic-22,Fija=4,0.26,4.23,100.26,94.67,13.02%,1.47,1.63
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Dic-22,100.00,34199.000,1-Dic-22,Fija=10.95,1.98,10.60,101.98,103.24,10.21%,2.88,3.06
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,31100.000,1-Dic-22,Fija=8,3.04,8.63,103.04,92.91,10.74%,2.94,3.20
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,37800.000,30-Nov-22,Fija=9.125,0.89,7.90,100.89,115.35,4.22%,2.95,3.06
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.00,32485.000,1-Dic-22,Tasa fija=8.75,2.26,8.95,102.26,97.80,10.05%,2.05,2.35
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,24900.000,1-Dic-22,Fija=2.5,1.08,3.31,101.08,75.84,16.83%,3.62,4.37
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,19450.000,1-Dic-22,Fija=1.5,0.27,2.52,100.27,59.72,15.79%,5.71,7.61
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,37200.000,31-Ene-23,Fija=6,0.43,5.96,100.43,100.63,4.61%,0.41,0.42
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-23,100.00,37000.000,31-Ene-23,Fija=7.375,0.23,7.35,100.23,100.29,6.93%,0.45,0.46
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,26000.000,31-Ene-23,Fija=8.75,2.01,8.93,72.01,98.09,11.99%,0.66,0.73
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,37000.000,31-Ene-23,Tasa fija=6.875,1.47,6.94,101.47,99.06,7.83%,1.19,1.24
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.70,33600.000,31-Ene-23,Fija=9.5,3.29,9.36,89.99,101.43,10.52%,1.17,1.29
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-23,100.00,34449.000,31-Ene-23,Fija=8.5,0.05,9.09,100.05,93.54,11.94%,2.15,2.31
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,38155.000,31-Ene-23,Fija=8.5,4.16,8.54,104.16,99.52,9.08%,1.30,1.42
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-23,100.00,37100.000,31-Ene-23,Fija=9,1.34,9.05,101.34,99.45,9.75%,1.35,1.47
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-23,100.00,38150.000,31-Ene-23,Fija=10.95,0.97,10.67,100.97,102.64,10.41%,2.80,2.96
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-23,100.00,35619.000,31-Ene-23,Fija=8,0.31,8.29,100.31,96.47,9.44%,2.93,3.13
10,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,8-Dic-26,3-Anual,Sem.,8-Jun-23,100.00,40931.500,31-Ene-23,Tasa fija.=9.5,1.43,8.65,101.43,109.64,5.80%,2.48,2.60
11,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,42730.000,31-Ene-23,Fija=9.125,2.33,8.02,102.33,113.44,4.56%,2.78,2.90
12,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.00,37101.000,31-Ene-23,Tasa fija=8.75,3.65,9.01,103.65,97.25,10.48%,1.89,2.19
13,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Abr-23,100.00,40000.000,31-Ene-23,Tasa fija.=8.25,1.90,7.73,101.90,106.64,5.96%,2.73,2.89
14,IRCFO,IRSA CLASE XIV EN U$S ,22-Jun-28,5-Anual,Sem.,22-Jun-23,100.00,37980.000,31-Ene-23,Tasa fija.=8.75,0.97,8.56,100.97,102.19,8.19%,2.99,3.31
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,34290.000,31-Ene-23,Fija=9,0.80,9.74,100.80,92.42,11.38%,3.75,4.24
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,29750.000,31-Ene-23,Fija=7,1.00,8.77,101.00,80.02,10.77%,6.15,7.45
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,29800.000,18-Ago-22,Fija=6,0.77,5.96,100.77,100.60,5.35%,0.83,0.86
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,29500.000,18-Ago-22,Fija=7.375,0.64,7.40,100.64,99.72,7.85%,0.86,0.90
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,18233.500,18-Ago-22,Fija=8.75,2.35,10.26,72.35,85.73,25.42%,0.95,1.13
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,28800.000,18-Ago-22,Tasa fija=6.875,1.85,7.15,101.85,96.19,9.56%,1.56,1.64
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,30500.000,18-Ago-22,Fija=9.5,4.33,9.55,104.33,99.45,11.65%,1.31,1.48
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,21390.000,18-Ago-22,Fija=8.5,0.57,11.77,100.57,72.35,22.99%,2.32,2.68
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,28250.000,18-Ago-22,Fija=8.5,0.38,8.88,100.38,95.74,11.32%,1.70,1.87
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Nov-22,100.00,25650.000,18-Ago-22,Fija=4,0.11,4.59,100.11,87.16,16.86%,1.69,1.90
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Sep-22,100.00,29950.000,18-Ago-22,Fija=10.95,1.58,10.92,101.58,100.30,11.29%,3.06,3.29
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,27350.000,18-Ago-22,Fija=8,0.76,8.67,100.76,92.34,10.72%,3.21,3.48
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,33800.000,18-Ago-22,Fija=9.125,2.84,8.14,102.84,111.81,5.50%,3.08,3.24
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,29280.000,18-Ago-22,Tasa fija=8.75,4.13,9.17,104.13,95.65,11.02%,2.20,2.55
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,20300.000,18-Ago-22,Fija=2.5,0.36,3.64,100.36,68.81,18.51%,3.82,4.65
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,15820.000,17-Ago-22,Fija=1.5,0.59,2.82,100.59,53.50,17.22%,5.73,7.87
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,19000.000,15-Mar-22,Fija=6,1.18,6.05,101.18,99.19,6.76%,1.22,1.26
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,19000.000,15-Mar-22,Fija=7.375,1.15,7.43,101.15,99.23,8.14%,1.24,1.30
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,19000.000,15-Mar-22,Fija=8.75,3.96,9.08,103.96,96.52,12.68%,0.97,1.11
3,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,18950.000,15-Mar-22,Fija=9.5,0.24,9.51,100.24,99.87,10.92%,1.73,1.92
4,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,15300.500,15-Mar-22,Fija=8.5,1.16,10.67,101.16,79.90,17.29%,2.68,3.02
5,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,18800.000,15-Mar-22,Fija=8.5,0.97,8.64,100.97,98.36,9.49%,2.06,2.24
6,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,16600.000,15-Mar-22,Fija=4,0.39,4.58,100.39,87.35,14.24%,2.10,2.30
7,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.00,19775.000,15-Mar-22,Fija=10.95,2.34,10.72,102.34,102.07,10.73%,3.32,3.59
8,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,18300.000,15-Mar-22,Fija=8,1.31,8.39,101.31,95.42,9.53%,3.52,3.81
9,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,21200.000,15-Mar-22,Fija=9.125,3.47,8.41,103.47,108.23,6.82%,3.33,3.56
10,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,13800.000,15-Mar-22,Fija=2.5,0.53,3.45,100.53,72.51,15.71%,4.27,5.05
11,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.00,11500.000,15-Mar-22,Fija=1.5,0.70,2.50,100.70,60.33,14.20%,6.42,8.26
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,33500.000,16-Dic-22,Fija=6,2.75,6.08,102.75,98.69,8.81%,0.50,0.53
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,33500.000,19-Dic-22,Fija=7.375,3.07,7.50,103.07,98.38,10.69%,0.53,0.56
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,22650.000,19-Dic-22,Fija=8.75,1.31,9.11,71.31,96.14,14.28%,0.76,0.84
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,32900.000,19-Dic-22,Tasa fija=6.875,0.69,6.95,100.69,98.91,7.86%,1.30,1.35
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.70,30010.000,19-Dic-22,Fija=9.5,2.36,9.31,89.06,102.00,9.95%,1.28,1.40
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,29100.000,19-Dic-22,Fija=8.5,3.38,10.03,103.38,85.21,16.51%,2.11,2.35
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,33400.000,19-Dic-22,Fija=8.5,3.19,8.68,103.19,97.98,10.18%,1.40,1.54
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-23,100.00,32485.000,19-Dic-22,Fija=4,0.43,4.09,100.43,97.91,10.76%,1.46,1.58
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Dic-22,100.00,33950.000,19-Dic-22,Fija=10.95,2.46,10.92,102.46,100.29,11.29%,2.82,3.02
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,32394.000,19-Dic-22,Fija=8,3.40,8.45,103.40,94.83,10.04%,2.91,3.15
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,37500.000,19-Dic-22,Fija=9.125,1.29,8.13,101.29,112.06,5.17%,2.88,3.01
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.00,33475.000,19-Dic-22,Tasa fija=8.75,2.65,8.87,102.65,98.71,9.59%,2.02,2.30
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,27000.000,19-Dic-22,Fija=2.5,1.19,3.10,101.19,80.77,15.13%,3.65,4.32
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,20600.000,19-Dic-22,Fija=1.5,0.34,2.42,100.34,62.15,15.14%,5.74,7.57
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,28300.000,16-Ago-22,Fija=6,0.70,5.95,100.70,100.78,5.14%,0.85,0.87
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,28490.000,16-Ago-22,Fija=7.375,0.55,7.26,100.55,101.60,5.64%,0.88,0.91
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,17400.000,16-Ago-22,Fija=8.75,2.28,10.19,72.28,86.33,24.45%,0.97,1.15
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,28000.000,16-Ago-22,Tasa fija=6.875,1.78,6.97,101.78,98.66,7.86%,1.58,1.65
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,28600.000,16-Ago-22,Fija=9.5,4.22,9.66,104.22,98.40,12.48%,1.31,1.49
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,20400.000,16-Ago-22,Fija=8.5,0.47,11.69,100.47,72.81,22.62%,2.33,2.69
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,26860.000,16-Ago-22,Fija=8.5,0.28,8.85,100.28,96.05,11.11%,1.71,1.88
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Nov-22,100.00,25200.000,16-Ago-22,Fija=4,0.07,4.43,100.07,90.31,14.48%,1.73,1.91
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Sep-22,100.00,28800.000,16-Ago-22,Fija=10.95,1.46,10.75,101.46,101.79,10.78%,3.08,3.30
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,25800.000,16-Ago-22,Fija=8,0.67,8.71,100.67,91.91,10.87%,3.22,3.49
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,32800.000,16-Ago-22,Fija=9.125,2.74,7.94,102.74,114.49,4.73%,3.11,3.25
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,28300.000,16-Ago-22,Tasa fija=8.75,4.03,8.98,104.03,97.55,10.08%,2.24,2.56
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,19720.000,16-Ago-22,Fija=2.5,0.33,3.55,100.33,70.48,17.79%,3.86,4.67
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,15700.000,16-Ago-22,Fija=1.5,0.58,2.69,100.58,55.98,16.35%,5.84,7.88
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,36000.000,17-Ene-23,Fija=6,0.22,5.82,100.22,103.07,-,0.46,0.46
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,37300.000,17-Ene-23,Fija=7.375,3.65,7.13,103.65,103.26,0.68%,0.48,0.48
2,IRCFO,IRSA CLASE XIV EN U$S ,28-Feb-24,5-Anual,Sem.,22-Jun-23,100.00,35600.000,17-Ene-23,Tasa fija.=8.75,0.66,8.62,100.66,101.48,8.43%,3.02,3.35
3,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,28-Feb-24,3-Anual,Sem.,8-Jun-23,100.00,38800.000,17-Ene-23,Tasa fija.=9.5,1.08,8.62,101.08,110.14,5.67%,2.52,2.64
4,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,24800.000,17-Ene-23,Fija=8.75,1.79,8.83,71.79,99.13,10.22%,0.70,0.76
5,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,36400.000,17-Ene-23,Tasa fija=6.875,1.22,6.66,101.22,103.18,4.39%,1.24,1.27
